name,male,female
Mary,15165,4125675
Anna,2746,892785
Emma,1626,672893
Elizabeth,5181,1638349
Minnie,787,158841
Margaret,3743,1248985
Ida,766,186399
Alice,1941,563738
Bertha,936,207642
Sarah,3326,1077746
Annie,1922,350476
Clara,1011,280156
Ella,886,304948
Florence,1441,335462
Cora,387,135490
Martha,1991,548773
Laura,2579,795619
Nellie,593,149572
Grace,1341,497009
Carrie,1190,265840
Maude,133,45537
Mabel,409,134949
Bessie,737,170038
Jennie,479,126650
Gertrude,568,176886
Julia,1737,459021
Hattie,494,99773
Edith,825,266536
Mattie,780,131300
Rose,2104,483744
Catherine,1823,660366
Lillian,1424,444800
Ada,277,95817
Lillie,873,156062
Helen,3104,1019053
Jessie,110212,167462
Louise,2183,333019
Ethel,1490,278732
Lula,339,84455
Myrtle,498,136450
Eva,1001,266324
Frances,4985,590068
Lena,326,138212
Lucy,622,202620
Edna,1042,294376
Maggie,282,115545
Pearl,3921,156514
Daisy,626,141868
Fannie,369,85005
Josephine,986,307270
Dora,550,105352
Rosa,1173,174125
Katherine,1823,637705
Agnes,465,157960
Marie,2195,536691
Nora,771,150545
May,699,48355
Mamie,278,77760
Blanche,223,87365
Stella,377,174691
Ellen,744,273297
Nancy,2946,1002365
Effie,241,43718
Sallie,135,49802
Nettie,88,49306
Della,139,67818
Lizzie,102,38846
Flora,172,68172
Susie,278,85089
Maud,31,13141
Mae,601,110744
Etta,23,41357
Harriet,121,88689
Sadie,235,125159
Caroline,308,228558
Katie,499,236944
Lydia,271,167114
Elsie,887,178650
Kate,88,80983
Susan,2543,1121703
Mollie,46,46671
Alma,2185,159366
Addie,718,44076
Georgia,728,152359
Eliza,184,53838
Lulu,0,12305
Nannie,20,25560
Lottie,133,46216
Amanda,2137,785766
Belle,0,17389
Charlotte,690,361900
Rebecca,2112,748406
Ruth,2779,824855
Viola,434,131384
Olive,364,55471
Amelia,221,191791
Hannah,695,433510
Jane,1134,371533
Virginia,2009,648979
Emily,1755,850263
Matilda,10,32165
Irene,1344,352199
Kathryn,1093,451947
Esther,962,256968
Willie,448946,146156
Henrietta,57,50797
Ollie,16269,40999
Amy,1846,691753
Rachel,1791,564572
Sara,1237,424738
Estella,55,39414
Theresa,1218,403546
Augusta,1680,16279
Ora,5599,38993
Pauline,775,226000
Josie,481,58477
Lola,275,88404
Sophia,440,350103
Leona,294,108936
Anne,828,321614
Mildred,1583,450709
Ann,1363,468626
Beulah,213,73119
Callie,632,58424
Lou,3625,33703
Delia,62,36276
Eleanor,606,288417
Barbara,4136,1434397
Iva,564,37615
Louisa,5,19214
Maria,4237,546026
Mayme,0,10892
Evelyn,1855,573403
Estelle,159,53539
Nina,250,126912
Betty,3619,999718
Marion,72075,188391
Bettie,83,38319
Dorothy,3677,1107635
Luella,16,30534
Inez,950,67508
Lela,68,42305
Rosie,470,80012
Allie,3122,48492
Millie,207,30321
Janie,276,74614
Cornelia,26,21771
Victoria,1248,493735
Ruby,3016,351681
Winifred,1106,43413
Alta,117,28720
Celia,74,54225
Christine,2031,584855
Beatrice,733,191101
Birdie,106,12357
Harriett,5,21544
Mable,215,52861
Myra,51,60360
Sophie,111,113974
Tillie,27,14676
Isabel,1817,119138
Sylvia,908,239775
Carolyn,1619,555160
Isabelle,20,93008
Leila,11,46301
Sally,647,203881
Ina,65,33727
Essie,1212,39336
Bertie,856,13651
Nell,98,26798
Alberta,399,70294
Katharine,11,40957
Lora,249,51865
Rena,123,38566
Mina,579,15898
Rhoda,7,25677
Mathilda,0,7285
Abbie,325,21513
Eula,332,47084
Dollie,61,19156
Hettie,0,7287
Eunice,1178,79630
Fanny,0,9504
Ola,624,29554
Lenora,31,34765
Adelaide,0,27139
Christina,1990,476495
Lelia,0,15447
Nelle,0,5576
Sue,519,144478
Johanna,129,51492
Lilly,24,57434
Lucinda,11,37551
Minerva,0,15246
Lettie,0,9571
Roxie,199,18123
Cynthia,1961,709180
Helena,0,35568
Hilda,183,80651
Hulda,0,5407
Bernice,3403,181823
Genevieve,151,112467
Jean,24010,457870
Cordelia,0,11206
Marian,1339,140551
Francis,285802,29194
Jeanette,537,162959
Adeline,26,58663
Gussie,1098,13083
Leah,442,226472
Lois,2637,332089
Lura,5,9493
Mittie,0,6297
Hallie,1335,30613
Isabella,385,335390
Olga,198,61482
Phoebe,5,33544
Teresa,1164,413688
Hester,537,14209
Lida,0,5841
Lina,5,16130
Winnie,228,23802
Claudia,759,126621
Marguerite,101,93490
Vera,397,140110
Cecelia,11,56573
Bess,5,7147
Emilie,7,25307
John,5124817,21691
Rosetta,44,27838
Verna,525,68835
Myrtie,0,4401
Cecilia,177,96826
Elva,816,31399
Olivia,707,452441
Ophelia,15,18384
Georgie,1533,12015
Elnora,27,21205
Violet,262,141983
Adele,11,39906
Lily,140,148104
Linnie,711,7907
Loretta,501,175076
Madge,0,13430
Polly,24,29194
Virgie,668,21790
Eugenia,15,29550
Lucile,96,34672
Lucille,750,224420
Mabelle,0,2533
Rosalie,96,72642
Kittie,0,2467
Meta,0,6190
Angie,131,62710
Dessie,317,11364
Georgiana,0,9134
Lila,57,66534
Regina,564,178480
Selma,321,26388
Wilhelmina,5,12198
Bridget,150,89699
Lilla,0,4249
Malinda,0,20926
Vina,0,5193
Freda,26,42409
Gertie,0,8507
Jeannette,49,69090
Louella,0,13165
Mandy,138,42170
Roberta,782,171133
Cassie,386,45328
Corinne,15,48100
Ivy,3326,50367
Melissa,2496,754292
Lyda,5,4904
Naomi,278,160706
Norma,1278,277458
Bell,130,2453
Margie,403,105858
Nona,0,16571
Zella,0,12383
Dovie,10,8924
Elvira,44,26692
Erma,238,54790
Irma,252,73332
Leota,0,10410
William,4117369,15958
Artie,4340,6392
Blanch,30,6420
Charity,39,34605
Lorena,219,43707
Lucretia,0,10421
Orpha,0,5950
Alvina,5,10368
Annette,499,168054
Catharine,0,12946
Elma,483,21507
Geneva,309,87757
Janet,1517,556088
Lee,231130,62143
Leora,6,11253
Lona,17,10799
Miriam,281,109215
Zora,21,7998
Linda,3757,1452668
Octavia,139,16514
Sudie,0,4023
Zula,0,4360
Adella,0,5513
Alpha,2413,7126
Frieda,0,25235
George,1467292,9930
Joanna,306,104264
Leonora,0,6917
Priscilla,245,119367
Tennie,19,2777
Angeline,10,35681
Docia,0,1105
Ettie,0,1807
Flossie,37,21795
Hanna,132,37954
Letha,25,19126
Minta,0,1283
Retta,0,3367
Rosella,5,15498
Adah,0,3430
Berta,0,7240
Elisabeth,27,46065
Elise,66,66091
Goldie,435,36138
Leola,52,27961
Margret,0,9978
Adaline,0,9517
Floy,323,6611
Idella,0,6500
Juanita,991,207178
Lenna,0,3647
Lucie,0,6576
Missouri,0,1558
Nola,9,23159
Zoe,474,126893
Eda,0,4064
Isabell,5,14540
